Group,Contour,Depth,Gp,Block,pH,N,Dens,P,Ca,Mg,K,Na,Conduc
1,Top,0-10,T0,1,5.4,0.188,0.92,215,16.35,7.65,0.72,1.14,1.09
1,Top,0-10,T0,2,5.65,0.165,1.04,208,12.25,5.15,0.71,0.94,1.35
1,Top,0-10,T0,3,5.14,0.26,0.95,300,13.02,5.68,0.68,0.6,1.41
1,Top,0-10,T0,4,5.14,0.169,1.1,248,11.92,7.88,1.09,1.01,1.64
2,Top,10-30,T1,1,5.14,0.164,1.12,174,14.17,8.12,0.7,2.17,1.85
2,Top,10-30,T1,2,5.1,0.094,1.22,129,8.55,6.92,0.81,2.67,3.18
2,Top,10-30,T1,3,4.7,0.1,1.52,117,8.74,8.16,0.39,3.32,4.16
2,Top,10-30,T1,4,4.46,0.112,1.47,170,9.49,9.16,0.7,3.76,5.14
3,Top,30-60,T3,1,4.37,0.112,1.07,121,8.85,10.35,0.74,5.74,5.73
3,Top,30-60,T3,2,4.39,0.058,1.54,115,4.73,6.91,0.77,5.85,6.45
3,Top,30-60,T3,3,4.17,0.078,1.26,112,6.29,7.95,0.26,5.3,8.37
3,Top,30-60,T3,4,3.89,0.07,1.42,117,6.61,9.76,0.41,8.3,9.21
4,Top,60-90,T6,1,3.88,0.077,1.25,127,6.41,10.96,0.56,9.67,10.64
4,Top,60-90,T6,2,4.07,0.046,1.54,91,3.82,6.61,0.5,7.67,10.07
4,Top,60-90,T6,3,3.88,0.055,1.53,91,4.98,8,0.23,8.78,11.26
4,Top,60-90,T6,4,3.74,0.053,1.4,79,5.86,10.14,0.41,11.04,12.15
5,Slope,0-10,S0,1,5.11,0.247,0.94,261,13.25,7.55,0.61,1.86,2.61
5,Slope,0-10,S0,2,5.46,0.298,0.96,300,12.3,7.5,0.68,2,1.98
5,Slope,0-10,S0,3,5.61,0.145,1.1,242,9.66,6.76,0.63,1.01,0.76
5,Slope,0-10,S0,4,5.85,0.186,1.2,229,13.78,7.12,0.62,3.09,2.85
6,Slope,10-30,S1,1,4.57,0.102,1.37,156,8.58,9.92,0.63,3.67,3.24
6,Slope,10-30,S1,2,5.11,0.097,1.3,139,8.58,8.69,0.42,4.7,4.63
6,Slope,10-30,S1,3,4.78,0.122,1.3,214,8.22,7.75,0.32,3.07,3.67
6,Slope,10-30,S1,4,6.67,0.083,1.42,132,12.68,9.56,0.55,8.3,8.1
7,Slope,30-60,S3,1,3.96,0.059,1.53,98,4.8,10,0.36,6.52,7.72
7,Slope,30-60,S3,2,4,0.05,1.5,115,5.06,8.91,0.28,7.91,9.78
7,Slope,30-60,S3,3,4.12,0.086,1.55,148,6.16,7.58,0.16,6.39,9.07
7,Slope,30-60,S3,4,4.99,0.048,1.46,97,7.49,9.38,0.4,9.7,9.13
8,Slope,60-90,S6,1,3.8,0.049,1.48,108,3.82,8.8,0.24,9.57,11.57
8,Slope,60-90,S6,2,3.96,0.036,1.28,103,4.78,7.29,0.24,9.67,11.42
8,Slope,60-90,S6,3,3.93,0.048,1.42,109,4.93,7.47,0.14,9.65,13.32
8,Slope,60-90,S6,4,4.02,0.039,1.51,100,5.66,8.84,0.37,10.54,11.57
9,Depression,0-10,D0,1,5.24,0.194,1,445,12.27,6.27,0.72,1.02,0.75
9,Depression,0-10,D0,2,5.2,0.256,0.78,380,11.39,7.55,0.78,1.63,2.2
9,Depression,0-10,D0,3,5.3,0.136,1,259,9.96,8.08,0.45,1.97,2.27
9,Depression,0-10,D0,4,5.67,0.127,1.13,248,9.12,7.04,0.55,1.43,0.67
10,Depression,10-30,D1,1,4.46,0.087,1.24,276,7.24,9.4,0.43,4.17,5.08
10,Depression,10-30,D1,2,4.91,0.092,1.47,158,7.37,10.57,0.59,5.07,6.37
10,Depression,10-30,D1,3,4.79,0.047,1.46,121,6.99,9.91,0.3,5.15,6.82
10,Depression,10-30,D1,4,5.36,0.095,1.26,195,8.59,8.66,0.48,4.17,3.65
11,Depression,30-60,D3,1,3.94,0.054,1.6,148,4.85,9.62,0.18,7.2,10.14
11,Depression,30-60,D3,2,4.52,0.051,1.53,115,6.34,9.78,0.34,8.52,9.74
11,Depression,30-60,D3,3,4.35,0.032,1.55,82,5.99,9.73,0.22,7.02,8.6
11,Depression,30-60,D3,4,4.64,0.065,1.46,152,4.43,10.54,0.22,7.61,9.09
12,Depression,60-90,D6,1,3.82,0.038,1.4,105,4.65,9.85,0.18,10.15,12.26
12,Depression,60-90,D6,2,4.24,0.035,1.47,100,4.56,8.95,0.33,10.51,11.29
12,Depression,60-90,D6,3,4.22,0.03,1.56,97,5.29,8.37,0.14,8.27,9.51
12,Depression,60-90,D6,4,4.41,0.058,1.58,130,4.58,9.46,0.14,9.28,12.69
1,Top,0-10,T0,1,5.4,0.188,0.92,215,1.42,117,6.61,9.76,0.41
1,Top,0-10,T0,2,5.65,0.165,1.04,208,1.25,127,6.41,10.96,0.56
1,Top,0-10,T0,3,5.14,0.26,0.95,300,1.54,91,3.82,6.61,0.5
1,Top,0-10,T0,4,5.14,0.169,1.1,248,1.53,91,4.98,8,0.23
2,Top,10-30,T1,1,5.14,0.164,1.12,174,1.4,79,5.86,10.14,0.41
2,Top,10-30,T1,2,5.1,0.094,1.22,129,0.94,261,13.25,7.55,0.61
2,Top,10-30,T1,3,4.7,0.1,1.52,117,0.96,300,12.3,7.5,0.68
2,Top,10-30,T1,4,4.46,0.112,1.47,170,1.1,242,9.66,6.76,0.63
3,Top,30-60,T3,1,4.37,0.112,1.07,121,1.2,229,13.78,7.12,0.62
3,Top,30-60,T3,2,4.39,0.058,1.54,115,1.37,156,8.58,9.92,0.63
3,Top,30-60,T3,3,4.17,0.078,1.26,112,1.3,139,8.58,8.69,0.42
3,Top,30-60,T3,4,3.89,0.07,1.42,117,1.3,214,8.22,7.75,0.32
4,Top,60-90,T6,1,3.88,0.077,1.25,127,1.42,132,12.68,9.56,0.55
4,Top,60-90,T6,2,4.07,0.046,1.54,91,1.53,98,4.8,10,0.36
4,Top,60-90,T6,3,3.88,0.055,1.53,91,1.5,115,5.06,8.91,0.28
4,Top,60-90,T6,4,3.74,0.053,1.4,79,1.55,148,6.16,7.58,0.16
5,Slope,0-10,S0,1,5.11,0.247,0.94,261,1.46,97,7.49,9.38,0.4
5,Slope,0-10,S0,2,5.46,0.298,0.96,300,1.48,108,3.82,8.8,0.24
5,Slope,0-10,S0,3,5.61,0.145,1.1,242,1.28,103,4.78,7.29,0.24
5,Slope,0-10,S0,4,5.85,0.186,1.2,229,1.42,109,4.93,7.47,0.14
9,Depression,0-10,D0,4,5.67,0.127,1.13,248,1.51,100,5.66,8.84,0.37
9,Depression,10-30,D1,1,4.46,0.087,1.24,276,1,445,12.27,6.27,0.72
10,Depression,10-30,D1,2,4.91,0.092,1.47,158,0.78,380,11.39,7.55,0.78
10,Depression,10-30,D1,3,4.79,0.047,1.46,121,1,259,9.96,8.08,0.45
10,Depression,10-30,D1,4,5.36,0.095,1.26,195,1.13,248,9.12,7.04,0.55
10,Depression,30-60,D3,1,3.94,0.054,1.6,148,1.24,276,7.24,9.4,0.43
11,Depression,30-60,D3,2,4.52,0.051,1.53,115,5.14,0.164,1.12,174,14.17
11,Depression,30-60,D3,3,4.35,0.032,1.55,82,5.1,0.094,1.22,129,8.55
11,Depression,30-60,D3,4,4.64,0.065,1.46,152,4.7,0.1,1.52,117,8.74
11,Depression,60-90,D6,1,3.82,0.038,1.4,105,4.46,0.112,1.47,170,9.49
12,Depression,60-90,D6,2,4.24,0.035,1.47,100,4.37,0.112,1.07,121,8.85
12,Depression,0-10,S0,3,117,8.74,8.16,0.39,4.39,0.058,1.54,115,4.73
12,Depression,0-10,S0,4,170,9.49,9.16,0.7,4.17,0.078,1.26,112,6.29
12,Depression,0-10,D0,4,121,8.85,10.35,0.74,3.89,0.07,1.42,117,6.61
1,Top,10-30,D1,1,115,4.73,6.91,0.77,3.88,0.077,1.25,127,6.41
1,Top,10-30,D1,2,112,6.29,7.95,0.26,4.07,0.046,1.54,91,3.82
1,Top,10-30,D1,3,117,6.61,9.76,0.41,3.88,0.055,1.53,91,4.98
1,Top,10-30,D1,4,127,6.41,10.96,0.56,3.74,0.053,1.4,79,5.86
2,Top,30-60,D3,1,91,3.82,6.61,0.5,5.11,0.247,0.94,261,13.25
2,Top,30-60,D3,2,91,4.98,8,0.23,5.46,0.298,0.96,300,12.3
2,Top,30-60,D3,3,79,5.86,10.14,0.41,5.61,0.145,1.1,242,9.66
2,Top,30-60,S3,4,261,13.25,7.55,0.61,5.85,0.186,1.2,229,13.78
2,Depression,30-60,D3,2,300,12.3,7.5,0.68,4.57,0.102,1.37,156,8.58
2,Top,0-10,T0,1,242,9.66,6.76,0.63,5.11,0.097,1.3,139,8.58
3,Top,0-10,T0,2,229,13.78,7.12,0.62,4.78,0.122,1.3,214,8.22
3,Top,0-10,T0,3,156,8.58,9.92,0.63,6.67,0.083,1.42,132,12.68
3,Top,0-10,T0,4,139,8.58,8.69,0.42,3.96,0.059,1.53,98,4.8
3,Top,10-30,T1,1,214,8.22,7.75,0.32,4,0.05,1.5,115,5.06
4,Top,10-30,T1,2,132,12.68,9.56,0.55,4.12,0.086,1.55,148,6.16
4,Top,10-30,T1,3,98,4.8,10,0.36,4.99,0.048,1.46,97,7.49
4,Top,10-30,T1,4,115,5.06,8.91,0.28,3.8,0.049,1.48,108,3.82
4,Top,30-60,T3,1,148,6.16,7.58,0.16,3.96,0.036,1.28,103,4.78
5,Top,30-60,T3,2,97,7.49,9.38,0.4,3.93,0.048,1.42,109,4.93
5,Top,30-60,T3,3,108,3.82,8.8,0.24,4.02,0.039,1.51,100,5.66
5,Top,30-60,T3,4,103,4.78,7.29,0.24,5.24,0.194,1,445,12.27
5,Top,60-90,T6,1,109,4.93,7.47,0.14,5.2,0.256,0.78,380,11.39
6,Top,60-90,T6,2,100,5.66,8.84,0.37,5.3,0.136,1,259,9.96
6,Top,60-90,T6,3,445,12.27,6.27,0.72,5.67,0.127,1.13,248,9.12
6,Top,60-90,T6,4,380,11.39,7.55,0.78,4.46,0.087,1.24,276,7.24
6,Slope,0-10,S0,1,259,9.96,8.08,0.45,4.91,0.092,1.47,158,7.37
7,Slope,0-10,S0,2,248,9.12,7.04,0.55,4.79,0.047,1.46,121,6.99
7,Slope,0-10,S0,3,276,7.24,9.4,0.43,5.36,0.095,1.26,195,8.59
7,Slope,0-10,S0,4,158,7.37,10.57,0.59,3.94,0.054,1.6,148,4.85
7,Slope,10-30,S1,1,121,6.99,9.91,0.3,4.52,0.051,1.53,115,6.34
8,Slope,10-30,S1,2,195,8.59,8.66,0.48,4.35,0.032,1.55,82,5.99
8,Slope,10-30,S1,3,148,4.85,9.62,0.18,4.64,0.065,1.46,152,4.43
8,Slope,10-30,S1,4,115,6.34,9.78,0.34,3.82,0.038,1.4,105,4.65
8,Slope,30-60,S3,1,82,5.99,9.73,0.22,4.24,0.035,1.47,100,4.56
9,Slope,30-60,S3,2,152,4.43,10.54,0.22,4.22,0.03,1.56,97,5.29
9,Slope,30-60,S3,3,105,4.65,9.85,0.18,4.41,0.058,1.58,130,4.58
9,Slope,30-60,S3,4,100,4.56,8.95,0.33,5.4,0.188,0.92,215,1.42
9,Slope,60-90,S6,1,97,5.29,8.37,0.14,5.65,0.165,1.04,208,1.25
10,Slope,60-90,S6,2,130,4.58,9.46,0.14,5.14,0.26,0.95,300,1.54
10,Slope,60-90,S6,3,215,1.42,117,6.61,5.14,0.169,1.1,248,1.53
10,Slope,60-90,S6,4,208,1.25,127,6.41,5.14,0.164,1.12,174,1.4
10,Depression,0-10,D0,1,300,1.54,91,3.82,5.1,0.094,1.22,129,0.94
11,Depression,0-10,D0,2,248,1.53,91,4.98,4.7,0.1,1.52,117,0.96
11,Depression,0-10,D0,3,174,1.4,79,5.86,4.46,0.112,1.47,170,1.1
11,Depression,0-10,D0,4,129,0.94,261,13.25,4.37,0.112,1.07,121,1.2
11,Depression,10-30,D1,1,117,0.96,300,12.3,4.39,0.058,1.54,115,1.37
12,Depression,10-30,D1,2,170,1.1,242,9.66,4.17,0.078,1.26,112,1.3
12,Depression,10-30,D1,3,121,1.2,229,13.78,3.89,0.07,1.42,117,1.3
12,Depression,10-30,D1,4,115,1.37,156,8.58,3.88,0.077,1.25,127,1.42
12,Depression,30-60,D3,1,112,1.3,139,8.58,4.07,0.046,1.54,91,1.53
1,Depression,30-60,D3,2,117,1.3,214,8.22,3.88,0.055,1.53,91,1.5
1,Depression,30-60,D3,3,127,1.42,132,12.68,3.74,0.053,1.4,79,1.55
1,Depression,30-60,D3,4,91,1.53,98,4.8,5.11,0.247,0.94,261,1.46
1,Depression,60-90,D6,1,91,1.5,115,5.06,5.46,0.298,0.96,300,1.48
2,Depression,60-90,D6,2,79,1.55,148,6.16,5.61,0.145,1.1,242,1.28
2,Depression,60-90,D6,3,261,1.46,97,7.49,5.85,0.186,1.2,229,1.42
2,Depression,60-90,D6,4,300,1.48,108,3.82,5.67,0.127,1.13,248,1.51
2,Top,0-10,T0,1,242,1.28,103,4.78,4.46,0.087,1.24,276,1
3,Top,0-10,T0,2,229,1.42,109,4.93,4.91,0.092,1.47,158,0.78
3,Top,0-10,T0,3,248,1.51,100,5.66,4.79,0.047,1.46,121,1
3,Top,0-10,T0,4,276,1,445,12.27,5.36,0.095,1.26,195,1.13
3,Top,10-30,T1,1,158,0.78,380,11.39,3.94,0.054,1.6,148,1.24
4,Top,10-30,T1,2,121,1,259,9.96,5.4,0.188,0.92,215,0.92
4,Top,10-30,T1,3,195,1.13,248,9.12,5.65,0.165,1.04,208,1.04
4,Top,10-30,T1,4,148,1.24,276,7.24,5.14,0.26,0.95,300,0.95
4,Top,30-60,T3,1,115,5.14,0.164,1.12,5.14,0.169,1.1,248,1.1
5,Top,30-60,T3,2,82,5.1,0.094,1.22,5.14,0.164,1.12,174,1.12
5,Top,30-60,T3,3,152,4.7,0.1,1.52,5.1,0.094,1.22,129,1.22
5,Top,30-60,T3,4,105,4.46,0.112,1.47,4.7,0.1,1.52,117,1.52
5,Top,60-90,T6,1,100,4.37,0.112,1.07,4.46,0.112,1.47,170,1.47
9,Top,60-90,T6,2,215,16.35,7.65,0.72,4.37,0.112,1.07,121,1.07
9,Top,60-90,T6,3,208,12.25,5.15,0.71,4.39,0.058,1.54,115,1.54
10,Top,60-90,T6,4,300,13.02,5.68,0.68,4.17,0.078,1.26,112,1.26
10,Slope,0-10,S0,1,248,11.92,7.88,1.09,3.89,0.07,1.42,117,1.42
10,Slope,0-10,S0,2,174,14.17,8.12,0.7,3.88,0.077,1.25,127,1.25
10,Slope,0-10,S0,3,129,8.55,6.92,0.81,4.07,0.046,1.54,91,1.54
11,Slope,0-10,S0,4,117,8.74,8.16,0.39,3.88,0.055,1.53,91,1.53
11,Depression,0-10,D0,4,170,9.49,9.16,0.7,3.74,0.053,1.4,79,1.4
11,Depression,10-30,D1,1,121,8.85,10.35,0.74,5.11,0.247,0.94,261,0.94
11,Depression,10-30,D1,2,115,4.73,6.91,0.77,5.46,0.298,0.96,300,0.96
12,Depression,10-30,D1,3,112,6.29,7.95,0.26,5.61,0.145,1.1,242,1.1
12,Depression,10-30,D1,4,117,6.61,9.76,0.41,5.85,0.186,1.2,229,1.2
12,Depression,30-60,D3,1,127,6.41,10.96,0.56,4.57,0.102,1.37,156,1.37
12,Depression,30-60,D3,2,91,3.82,6.61,0.5,5.11,0.097,1.3,139,1.3
1,Depression,30-60,D3,3,91,4.98,8,0.23,4.78,0.122,1.3,214,1.3
1,Depression,30-60,D3,4,79,5.86,10.14,0.41,6.67,0.083,1.42,132,1.42
1,Depression,60-90,D6,1,261,13.25,7.55,0.61,3.96,0.059,1.53,98,1.53
1,Depression,60-90,D6,2,300,12.3,7.5,0.68,4,0.05,1.5,115,1.5
2,Top,0-10,T0,1,242,9.66,6.76,0.63,4.12,0.086,1.55,148,1.55
2,Top,0-10,T0,2,229,13.78,7.12,0.62,4.99,0.048,1.46,97,1.46
2,Top,0-10,T0,3,156,8.58,9.92,0.63,3.8,0.049,1.48,108,1.48
2,Top,0-10,T0,4,139,8.58,8.69,0.42,3.96,0.036,1.28,103,1.28
2,Top,10-30,T1,1,214,8.22,7.75,0.32,3.93,0.048,1.42,109,1.42
2,Top,10-30,T1,2,132,12.68,9.56,0.55,4.02,0.039,1.51,100,1.51
3,Top,10-30,T1,3,98,4.8,10,0.36,5.24,0.194,1,445,1
3,Top,10-30,T1,4,115,5.06,8.91,0.28,5.2,0.256,0.78,380,0.78
3,Top,30-60,T3,1,148,6.16,7.58,0.16,5.3,0.136,1,259,1
3,Top,30-60,T3,2,97,7.49,9.38,0.4,5.67,0.127,1.13,248,1.13
4,Top,30-60,T3,3,108,3.82,8.8,0.24,4.46,0.087,1.24,276,1.24
4,Top,30-60,T3,4,103,4.78,7.29,0.24,4.91,0.092,1.47,158,1.47
4,Top,60-90,T6,1,109,4.93,7.47,0.14,4.79,0.047,1.46,121,1.46
4,Top,60-90,T6,2,100,5.66,8.84,0.37,5.36,0.095,1.26,195,1.26
5,Top,60-90,T6,3,445,12.27,6.27,0.72,3.94,0.054,1.6,148,1.6
5,Top,60-90,T6,4,380,11.39,7.55,0.78,4.52,0.051,1.53,115,1.53
5,Slope,0-10,S0,1,259,9.96,8.08,0.45,4.35,0.032,1.55,82,1.55
5,Slope,0-10,S0,2,248,9.12,7.04,0.55,4.64,0.065,1.46,152,1.46
6,Slope,0-10,S0,3,276,7.24,9.4,0.43,3.82,0.038,1.4,105,1.4
6,Slope,0-10,S0,4,158,7.37,10.57,0.59,4.24,0.035,1.47,100,1.47
6,Slope,10-30,S1,1,121,6.99,9.91,0.3,4.22,0.03,1.56,97,1.56
6,Slope,10-30,S1,2,195,8.59,8.66,0.48,4.41,0.058,1.58,130,1.58
7,Slope,10-30,S1,3,148,4.85,9.62,0.18,5.4,0.188,0.92,215,0.92
7,Slope,10-30,S1,4,115,6.34,9.78,0.34,5.65,0.165,1.04,208,1.04
7,Slope,30-60,S3,1,82,5.99,9.73,0.22,5.14,0.26,0.95,300,0.95
7,Slope,30-60,S3,2,152,4.43,10.54,0.22,5.14,0.169,1.1,248,1.1
8,Slope,30-60,S3,3,105,4.65,9.85,0.18,5.14,0.164,1.12,174,1.12
8,Slope,30-60,S3,4,100,4.56,8.95,0.33,5.1,0.094,1.22,129,1.22
8,Slope,60-90,S6,1,97,5.29,8.37,0.14,4.7,0.1,1.52,117,1.52
8,Slope,60-90,S6,2,130,4.58,9.46,0.14,4.46,0.112,1.47,170,1.47
9,Slope,60-90,S6,3,215,1.42,117,6.61,4.37,0.112,1.07,121,1.07
9,Slope,60-90,S6,4,208,1.25,127,6.41,4.39,0.058,1.54,115,1.54
9,Depression,0-10,D0,1,300,1.54,91,3.82,4.17,0.078,1.26,112,1.26
9,Depression,0-10,D0,2,248,1.53,91,4.98,3.89,0.07,1.42,117,1.42
10,Depression,0-10,D0,3,174,1.4,79,5.86,3.88,0.077,1.25,127,1.25
10,Depression,0-10,D0,4,129,0.94,261,13.25,4.07,0.046,1.54,91,1.54
10,Depression,10-30,D1,1,117,0.96,300,12.3,3.88,0.055,1.53,91,1.53
10,Depression,10-30,D1,2,170,1.1,242,9.66,3.74,0.053,1.4,79,1.4
11,Depression,10-30,D1,3,121,1.2,229,13.78,5.11,0.247,0.94,261,0.94
11,Depression,10-30,D1,4,115,1.37,156,8.58,5.46,0.298,0.96,300,0.96
11,Depression,30-60,D3,1,112,1.3,139,8.58,5.61,0.145,1.1,242,1.1
11,Depression,30-60,D3,2,117,1.3,214,8.22,5.85,0.186,1.2,229,1.2
12,Depression,30-60,D3,3,127,1.42,132,12.68,5.67,0.127,1.13,248,1.13
12,Depression,30-60,D3,4,91,1.53,98,4.8,4.46,0.087,1.24,276,1.24
12,Depression,60-90,D6,1,91,1.5,115,5.06,4.91,0.092,1.47,158,1.47
12,Depression,60-90,D6,2,79,1.55,148,6.16,4.79,0.047,1.46,121,1.46
1,Depression,60-90,D6,3,261,1.46,97,7.49,5.36,0.095,1.26,195,1.26
1,Depression,60-90,D6,4,300,1.48,108,3.82,3.94,0.054,1.6,148,1.6
1,Top,0-10,T0,1,242,1.28,103,4.78,4.52,0.051,1.53,115,1.53
1,Top,0-10,T0,2,229,1.42,109,4.93,4.35,0.032,1.55,82,1.55
2,Top,0-10,T0,3,248,1.51,100,5.66,4.64,0.065,1.46,152,1.46
2,Top,0-10,T0,4,276,1,445,12.27,3.82,0.038,1.4,105,1.4
2,Top,10-30,T1,1,158,0.78,380,11.39,4.24,0.035,1.47,100,1.47
2,Top,10-30,T1,2,121,1,259,9.96,117,8.74,8.16,0.39,8.16
3,Top,10-30,T1,3,195,1.13,248,9.12,170,9.49,9.16,0.7,9.16
3,Top,10-30,T1,4,148,1.24,276,7.24,121,8.85,10.35,0.74,10.35
3,Top,30-60,T3,1,115,5.14,0.164,1.12,115,4.73,6.91,0.77,6.91
3,Top,30-60,T3,2,82,5.1,0.094,1.22,112,6.29,7.95,0.26,7.95
4,Top,30-60,T3,3,152,4.7,0.1,1.52,117,6.61,9.76,0.41,9.76
4,Top,30-60,T3,4,105,4.46,0.112,1.47,127,6.41,10.96,0.56,10.96
4,Top,60-90,T6,1,100,4.37,0.112,1.07,91,3.82,6.61,0.5,6.61
4,Top,60-90,T6,2,0.39,4.39,0.058,1.54,91,4.98,8,0.23,8
5,Top,60-90,T6,3,0.7,4.17,0.078,1.26,79,5.86,10.14,0.41,10.14
5,Top,60-90,T6,4,0.74,3.89,0.07,1.42,261,13.25,7.55,0.61,7.55
5,Slope,0-10,S0,1,0.77,3.88,0.077,1.25,300,12.3,7.5,0.68,7.5
5,Slope,0-10,S0,2,0.26,4.07,0.046,1.54,242,9.66,6.76,0.63,6.76
9,Slope,0-10,S0,3,0.41,3.88,0.055,1.53,229,13.78,7.12,0.62,7.12
9,Slope,0-10,S0,4,0.56,3.74,0.053,1.4,156,8.58,9.92,0.63,9.92
10,Depression,0-10,D0,4,0.5,5.11,0.247,0.94,139,8.58,8.69,0.42,8.69
10,Depression,10-30,D1,1,0.23,5.46,0.298,0.96,214,8.22,7.75,0.32,7.75
10,Depression,10-30,D1,2,0.41,5.61,0.145,1.1,132,12.68,9.56,0.55,9.56
10,Depression,10-30,D1,3,0.61,5.85,0.186,1.2,98,4.8,10,0.36,10
11,Depression,10-30,D1,4,0.68,4.57,0.102,1.37,115,5.06,8.91,0.28,8.91
11,Depression,30-60,D3,1,0.63,5.11,0.097,1.3,148,6.16,7.58,0.16,7.58
11,Depression,30-60,D3,2,0.62,4.78,0.122,1.3,97,7.49,9.38,0.4,9.38
11,Depression,30-60,D3,3,0.63,6.67,0.083,1.42,108,3.82,8.8,0.24,8.8
12,Depression,30-60,D3,4,0.42,3.96,0.059,1.53,103,4.78,7.29,0.24,7.29
12,Depression,60-90,D6,1,0.32,4,0.05,1.5,109,4.93,7.47,0.14,7.47
12,Depression,60-90,D6,2,0.55,4.12,0.086,1.55,100,5.66,8.84,0.37,8.84
12,Depression,0-10,S0,3,0.36,4.99,0.048,1.46,445,12.27,6.27,0.72,6.27
1,Depression,0-10,S0,4,0.28,3.8,0.049,1.48,380,11.39,7.55,0.78,7.55
1,Depression,0-10,D0,4,0.16,3.96,0.036,1.28,259,9.96,8.08,0.45,8.08
1,Top,10-30,D1,1,0.4,3.93,0.048,1.42,248,9.12,7.04,0.55,7.04
1,Top,10-30,D1,2,0.24,4.02,0.039,1.51,276,7.24,9.4,0.43,9.4
2,Top,10-30,D1,3,0.24,5.24,0.194,1,158,7.37,10.57,0.59,10.57
2,Top,10-30,D1,4,0.14,5.2,0.256,0.78,121,6.99,9.91,0.3,9.91
2,Top,30-60,D3,1,0.37,5.3,0.136,1,195,8.59,8.66,0.48,8.66
2,Top,30-60,D3,2,0.72,5.67,0.127,1.13,148,4.85,9.62,0.18,9.62
3,Top,30-60,D3,3,0.78,4.46,0.087,1.24,115,6.34,9.78,0.34,9.78
3,Top,30-60,S3,4,0.45,4.91,0.092,1.47,82,5.99,9.73,0.22,9.73
4,Depression,30-60,D3,2,0.55,4.79,0.047,1.46,152,4.43,10.54,0.22,10.54
4,Top,0-10,T0,1,0.43,5.36,0.095,1.26,105,4.65,9.85,0.18,9.85
4,Top,0-10,T0,2,0.59,3.94,0.054,1.6,100,4.56,8.95,0.33,8.95
4,Top,0-10,T0,3,0.3,4.52,0.051,1.53,97,5.29,8.37,0.14,8.37
5,Top,0-10,T0,4,0.48,4.35,0.032,1.55,130,4.58,9.46,0.14,9.46
5,Top,10-30,T1,1,0.18,4.64,0.065,1.46,215,1.42,117,6.61,117
5,Top,10-30,T1,2,0.34,3.82,0.038,1.4,208,1.25,127,6.41,127
5,Top,10-30,T1,3,0.22,4.24,0.035,1.47,300,1.54,91,3.82,91
9,Top,10-30,T1,4,0.22,4.22,0.03,1.56,248,1.53,91,4.98,91
9,Top,30-60,T3,1,0.18,4.41,0.058,1.58,174,1.4,79,5.86,79
10,Top,30-60,T3,2,0.33,5.4,0.188,0.92,129,0.94,261,13.25,261
10,Top,30-60,T3,3,0.14,5.65,0.165,1.04,5.4,0.188,0.92,215,300
10,Top,30-60,T3,4,0.14,5.14,0.26,0.95,5.65,0.165,1.04,208,242
10,Top,60-90,T6,1,6.61,5.14,0.169,1.1,5.14,0.26,0.95,300,229
11,Top,60-90,T6,2,6.41,5.14,0.164,1.12,5.14,0.169,1.1,248,156
11,Top,60-90,T6,3,3.82,5.1,0.094,1.22,5.14,0.164,1.12,174,139
11,Top,60-90,T6,4,4.98,4.7,0.1,1.52,5.1,0.094,1.22,129,214
11,Slope,0-10,S0,1,5.86,4.46,0.112,1.47,4.7,0.1,1.52,117,132
12,Slope,0-10,S0,2,13.25,4.37,0.112,1.07,4.46,0.112,1.47,170,98
12,Slope,0-10,S0,3,12.3,4.39,0.058,1.54,4.37,0.112,1.07,121,115
12,Slope,0-10,S0,4,9.66,4.17,0.078,1.26,4.39,0.058,1.54,115,148
12,Slope,10-30,S1,1,13.78,3.89,0.07,1.42,4.17,0.078,1.26,112,97
1,Slope,10-30,S1,2,8.58,3.88,0.077,1.25,3.89,0.07,1.42,117,108
1,Slope,10-30,S1,3,8.58,4.07,0.046,1.54,3.88,0.077,1.25,127,103
1,Slope,10-30,S1,4,8.22,3.88,0.055,1.53,4.07,0.046,1.54,91,109
1,Slope,30-60,S3,1,12.68,3.74,0.053,1.4,3.88,0.055,1.53,91,100
2,Slope,30-60,S3,2,4.8,5.11,0.247,0.94,3.74,0.053,1.4,79,445
2,Slope,30-60,S3,3,5.06,5.46,0.298,0.96,5.11,0.247,0.94,261,380
2,Slope,30-60,S3,4,6.16,5.61,0.145,1.1,5.46,0.298,0.96,300,0.96
2,Slope,60-90,S6,1,7.49,5.85,0.186,1.2,5.61,0.145,1.1,242,1.1
12,Slope,60-90,S6,2,3.82,5.67,0.127,1.13,5.85,0.186,1.2,229,1.2
12,Slope,60-90,S6,3,4.78,4.46,0.087,1.24,4.57,0.102,1.37,156,1.37
12,Slope,60-90,S6,4,4.93,4.91,0.092,1.47,5.11,0.097,1.3,139,1.3
1,Depression,0-10,D0,1,5.66,4.79,0.047,1.46,4.78,0.122,1.3,214,1.3
1,Depression,0-10,D0,2,12.27,5.36,0.095,1.26,6.67,0.083,1.42,132,1.42
1,Depression,0-10,D0,3,11.39,3.94,0.054,1.6,3.96,0.059,1.53,98,1.53
1,Depression,0-10,D0,4,5.85,0.186,1.2,229,4,0.05,1.5,115,1.5
2,Depression,10-30,D1,1,4.57,0.102,1.37,156,4.12,0.086,1.55,148,1.55
2,Depression,10-30,D1,2,5.11,0.097,1.3,139,4.99,0.048,1.46,97,1.46